Date,Time,City,Country,Temperature (°C),Humidity (%),Pressure (hPa),Wind (m/s),Weather
2025-10-10,06:50:44,Cockburn Town,TC,27.98,76,1010,1.64,Rain
2025-10-10,06:50:45,Helsinki,FI,9.94,95,1004,4.02,Clouds
2025-10-10,06:50:47,Maseru,LS,19.62,47,1021,3.99,Clouds
2025-10-10,06:50:48,Moscow,RU,9.73,73,1008,4.37,Clouds
2025-10-10,06:50:49,Dublin,IE,10.67,79,1034,5.14,Clouds
2025-10-10,06:50:50,Baku,AZ,23.03,60,1011,7.2,Clear
2025-10-10,06:50:51,Kingston,JM,24.55,90,1011,2.57,Clouds
2025-10-10,06:50:52,Mbabane,SZ,17.24,61,1021,1.61,Clouds
2025-10-10,06:50:53,Libreville,GA,26.01,89,1014,3.09,Clouds
2025-10-10,06:50:55,Phnom Penh,KH,32.51,52,1006,3.39,Clouds
2025-10-10,06:50:56,Riyadh,SA,32.59,11,1015,1.72,Clear
2025-10-10,06:50:57,Palikir,FM,29.19,81,1009,5.14,Rain
2025-10-10,06:50:58,Pyongyang,KP,14.23,86,1017,4.93,Rain
2025-10-10,06:50:59,Malabo,GQ,24.92,94,1015,1.54,Thunderstorm
2025-10-10,06:51:00,Nuuk,GL,0.34,74,1008,3.09,Clouds
2025-10-10,06:51:01,Mexico City,MX,15.53,82,1018,2.57,Rain
2025-10-10,06:51:03,Brasília,BR,17.57,74,1016,4.51,Clear
2025-10-10,06:51:04,Yaren,NR,28.41,67,1010,2.58,Clouds
2025-10-10,06:51:05,Tehran,IR,27.62,9,1014,6.17,Clear
2025-10-10,06:51:06,Luanda,AO,23.0,88,1015,2.57,Clouds
2025-10-10,06:51:07,Oranjestad,AW,28.88,80,1009,5.81,Clouds
2025-10-10,06:51:08,West Island,CC,28.99,74,1012,6.17,Clouds
2025-10-10,06:51:09,Naypyidaw,MM,30.95,65,1007,1.03,Clouds
2025-10-10,06:51:11,Cairo,EG,23.42,60,1020,3.6,Clear
2025-10-10,06:51:12,Rome,IT,15.8,77,1024,2.06,Clear
2025-10-10,06:51:13,Canberra,AU,21.27,34,1010,12.07,Clear
2025-10-10,06:51:14,Gaborone,BW,18.95,68,1020,3.6,Clear
2025-10-10,06:51:15,Vatican City,VA,15.65,77,1024,2.06,Clear
2025-10-10,06:51:16,Saint-Denis,RE,27.1,50,1022,8.75,Clear
2025-10-10,06:51:18,Monrovia,LR,24.74,88,1013,2.4,Clouds
2025-10-10,06:51:19,Lisbon,PT,18.06,69,1020,2.06,Clear
2025-10-10,06:51:20,The Valley,AI,27.92,78,1007,6.26,Clouds
2025-10-10,06:51:21,Damascus,SY,15.42,60,1021,2.15,Clear
2025-10-10,06:51:22,Copenhagen,DK,11.94,82,1020,5.66,Clouds
2025-10-10,06:51:23,Tirana,AL,13.49,72,1024,1.03,Clear
2025-10-10,06:51:24,Bratislava,SK,12.0,82,1026,4.12,Clouds
2025-10-10,06:51:26,Willemstad,CW,28.77,83,1009,3.09,Rain
2025-10-10,06:51:27,Lusaka,ZM,22.14,53,1017,7.72,Clear
2025-10-10,06:51:28,São Tomé,ST,25.12,86,1014,2.8,Clouds
2025-10-10,06:51:29,Nassau,BS,25.99,89,1011,0.51,Clouds
2025-10-10,06:51:30,Amsterdam,NL,12.08,90,1031,2.57,Fog
2025-10-10,06:51:31,Pago Pago,AS,27.55,83,1014,7.72,Rain
2025-10-10,06:51:32,Sucre,BO,10.65,76,1017,1.12,Clear
2025-10-10,06:51:35,Berlin,DE,12.17,93,1025,7.15,Clouds
2025-10-10,06:51:36,Asmara,ER,19.66,21,1018,7.82,Clear
2025-10-10,06:51:37,Tallinn,EE,10.19,100,1005,2.06,Clouds
2025-10-10,06:51:38,Bamako,ML,23.23,100,1013,2.06,Clear
2025-10-10,06:51:39,Kuwait City,KW,34.32,30,1013,6.03,Clear
2025-10-10,06:51:40,Kinshasa,CD,22.21,94,1014,1.03,Clouds
2025-10-10,06:51:42,Budapest,HU,12.41,79,1024,5.66,Clear
2025-10-10,06:51:43,Tripoli,LY,23.17,44,1022,2.97,Clouds
2025-10-10,06:51:44,Podgorica,ME,12.88,82,1024,0.51,Clear
2025-10-10,06:51:45,Asunción,PY,16.8,90,1015,0.0,Clear
2025-10-10,06:51:46,Lima,PE,17.17,84,1014,5.14,Clouds
2025-10-10,06:51:47,Gitega,BI,22.58,51,1016,4.69,Clouds
2025-10-10,06:51:48,Vientiane,LA,32.97,70,1009,3.09,Clouds
2025-10-10,06:51:50,Juba,SS,29.36,50,1013,1.89,Clear
2025-10-10,06:51:51,George Town,KY,28.95,68,1010,1.94,Clouds
2025-10-10,06:51:52,Skopje,MK,12.82,71,1026,1.03,Clouds
2025-10-10,06:51:53,Rabat,MA,19.04,68,1018,0.0,Clouds
2025-10-10,06:51:54,Beirut,LB,22.41,64,1021,1.54,Clouds
2025-10-10,06:51:55,Mariehamn,AX,7.92,87,1010,1.54,Clear
2025-10-10,06:51:57,Conakry,GN,24.04,100,1013,2.06,Clouds
2025-10-10,06:51:58,Managua,NI,21.88,89,1012,2.24,Rain
2025-10-10,06:51:59,Basse-Terre,GP,23.58,94,1010,8.23,Thunderstorm
2025-10-10,06:52:00,Sri Jayawardenepura Kotte,LK,29.98,65,1010,4.67,Clouds
2025-10-10,06:52:01,Beijing,CN,12.94,77,1019,2.49,Rain
2025-10-10,06:52:02,Manama,BH,32.77,62,1013,4.12,Clear
2025-10-10,06:52:03,Majuro,MH,27.98,78,1009,0.0,Rain
2025-10-10,06:52:05,Kyiv,UA,11.51,96,1013,0.45,Clouds
2025-10-10,06:52:06,Pretoria,ZA,18.9,63,1021,3.6,Clear
2025-10-10,06:52:07,Kingstown,VC,26.81,79,1011,5.66,Rain
2025-10-10,06:52:08,Victoria,SC,28.59,61,1015,5.14,Clouds
2025-10-10,06:52:09,Santo Domingo,DO,27.24,84,1011,0.89,Clouds
2025-10-10,06:52:10,Jakarta,ID,32.88,50,1008,4.12,Clouds
2025-10-10,06:52:11,Lilongwe,MW,24.11,60,1018,7.72,Clouds
2025-10-10,06:52:13,Yaoundé,CM,18.74,94,1016,1.54,Thunderstorm
2025-10-10,06:52:14,Antananarivo,MG,23.98,50,1020,3.09,Clouds
2025-10-10,06:52:15,South Tarawa,KI,29.0,65,1010,3.09,Clouds
2025-10-10,06:52:16,Suva,FJ,23.71,78,1018,4.12,Clouds
2025-10-10,06:52:18,Islamabad,PK,27.69,54,1013,2.03,Clear
2025-10-10,06:52:20,Tórshavn,FO,11.66,93,1012,15.37,Clouds
2025-10-10,06:52:21,Paramaribo,SR,23.72,93,1010,2.93,Clouds
2025-10-10,06:52:22,Djibouti,DJ,30.56,45,1013,4.05,Clear
2025-10-10,06:52:23,Banjul,GM,25.18,100,1012,2.06,Clouds
2025-10-10,06:52:24,Ulan Bator,MN,8.07,29,1017,4.0,Clear
2025-10-10,06:52:25,Harare,ZW,22.9,37,1020,5.23,Clear
2025-10-10,06:52:26,Reykjavik,IS,7.81,81,1006,4.63,Clouds
2025-10-10,06:52:28,Port-au-Prince,HT,25.12,84,1011,0.94,Clouds
2025-10-10,06:52:29,Bucharest,RO,10.57,86,1022,4.02,Clear
2025-10-10,06:52:30,San José,CR,16.95,96,1016,2.24,Clear
2025-10-10,06:52:31,Zagreb,HR,14.38,91,1028,1.03,Fog
2025-10-10,06:52:32,Hanoi,VN,32.0,52,1009,1.63,Clouds
2025-10-10,06:52:33,Seoul,KR,17.76,100,1016,3.6,Rain
2025-10-10,06:52:34,Kingston,NF,19.23,77,1025,4.12,Clouds
2025-10-10,06:52:36,Ottawa,CA,2.1,77,1032,2.57,Clear
2025-10-10,06:52:37,Vaduz,LI,12.67,91,1029,0.45,Clouds
2025-10-10,06:52:38,Monaco,MC,19.96,63,1024,1.91,Clear
2025-10-10,06:52:39,San Juan,PR,25.75,91,1010,0.0,Clouds
2025-10-10,06:52:40,Funafuti,TV,28.0,89,1011,5.14,Thunderstorm
2025-10-10,06:52:41,Cayenne,GF,24.02,94,1010,0.0,Clouds
2025-10-10,06:52:42,Marigot,MF,27.88,100,1008,2.57,Clouds
2025-10-10,06:52:44,Port Louis,MU,27.46,86,1021,3.99,Clouds
2025-10-10,06:52:46,Port Moresby,PG,26.41,85,1009,6.1,Clouds
2025-10-10,06:52:47,Astana,KZ,9.97,43,1028,3.0,Clear
2025-10-10,06:52:48,Kuala Lumpur,MY,32.63,52,1009,2.57,Clouds
2025-10-10,06:52:49,Kampala,UG,23.09,70,1015,2.53,Clouds
2025-10-10,06:52:50,Ouagadougou,BF,25.07,88,1013,2.06,Clear
2025-10-10,06:52:52,St. George's,GD,29.82,79,1011,7.2,Rain
2025-10-10,06:52:53,Singapore,SG,31.45,62,1009,2.57,Clouds
2025-10-10,06:52:54,Avarua,CK,25.03,78,1020,2.57,Clouds
2025-10-10,06:52:55,Malé,MV,26.97,94,1012,4.12,Rain
2025-10-10,06:52:56,Sana'a,YE,19.61,14,1019,1.96,Clear
2025-10-10,06:52:57,Charlotte Amalie,VI,28.85,84,1009,5.14,Clouds
2025-10-10,06:52:58,Saint Helier,JE,14.92,78,1032,1.54,Clouds
2025-10-10,06:53:00,Fort-de-France,MQ,24.97,88,1012,2.57,Rain
2025-10-10,06:53:01,Road Town,VG,27.03,77,1009,3.98,Clouds
2025-10-10,06:53:02,Saint John's,AG,24.67,87,1008,5.81,Rain
2025-10-10,06:53:03,Panama City,PA,24.08,98,1010,1.03,Clouds
2025-10-10,06:53:04,Bangkok,TH,34.53,52,1007,2.79,Clouds
2025-10-10,06:53:05,Stockholm,SE,6.96,85,1012,3.09,Clear
2025-10-10,06:53:06,Algiers,DZ,15.9,88,1020,0.51,Clouds
2025-10-10,06:53:08,Maputo,MZ,25.13,76,1021,2.06,Clouds
2025-10-10,06:53:09,Windhoek,NA,19.27,52,1016,1.54,Clouds
2025-10-10,06:53:10,Bridgetown,BB,28.27,89,1012,6.17,Rain
2025-10-10,06:53:11,Longyearbyen,SJ,-0.09,86,998,1.54,Clouds
2025-10-10,06:53:12,City of Victoria,HK,30.86,66,1011,3.58,Clear
2025-10-10,06:53:13,Tegucigalpa,HN,19.14,100,1016,1.03,Clouds
2025-10-10,06:53:15,Tokyo,JP,23.14,51,1019,2.57,Clouds
2025-10-10,06:53:17,Hagåtña,GU,26.46,88,1010,1.34,Clear
2025-10-10,06:53:18,Philipsburg,SX,27.97,100,1008,2.57,Clouds
2025-10-10,06:53:19,Minsk,BY,8.47,85,1010,4.76,Clouds
2025-10-10,06:53:20,Hamilton,BM,24.45,76,1017,5.66,Clouds
2025-10-10,06:53:21,Sarajevo,BA,9.95,100,1027,0.0,Clouds
2025-10-10,06:53:23,Gibraltar,GI,20.56,80,1019,2.06,Clouds
2025-10-10,06:53:24,Nairobi,KE,19.31,56,1019,3.42,Clouds
2025-10-10,06:53:25,Wellington,NZ,14.75,98,1018,9.39,Clouds
2025-10-10,06:53:26,Port-aux-Français,TF,2.62,79,980,11.64,Rain
2025-10-10,06:53:28,Georgetown,GY,25.51,89,1011,2.35,Clouds
2025-10-10,06:53:29,Kathmandu,NP,26.12,38,1012,3.6,Clouds
2025-10-10,06:53:31,New Delhi,IN,27.09,54,1012,3.09,Haze
2025-10-10,06:53:32,Port of Spain,TT,26.94,91,1011,3.01,Rain
2025-10-10,06:53:33,Luxembourg,LU,8.58,94,1032,2.46,Clear
2025-10-10,06:53:34,Bern,CH,9.64,93,1029,2.24,Clouds
2025-10-10,06:53:35,Taipei,TW,33.58,56,1009,6.69,Clouds
2025-10-10,06:53:36,Baghdad,IQ,24.95,44,1016,4.63,Dust
2025-10-10,06:53:37,Oslo,NO,8.09,79,1013,1.0,Clouds
2025-10-10,06:53:39,Muscat,OM,31.04,55,1012,2.21,Clear
2025-10-10,06:53:40,London,GB,13.51,81,1033,1.54,Clouds
2025-10-10,06:53:41,Roseau,DM,25.95,83,1011,9.37,Rain
2025-10-10,06:53:42,Madrid,ES,13.19,68,1024,5.14,Clear
2025-10-10,06:53:43,Belgrade,RS,13.97,86,1026,4.63,Clouds
2025-10-10,06:53:44,Ljubljana,SI,11.68,98,1028,1.54,Clouds
2025-10-10,06:53:45,Yerevan,AM,19.09,24,1016,6.17,Clear
2025-10-10,06:53:47,Niamey,NE,28.16,74,1012,2.06,Clouds
2025-10-10,06:53:48,Flying Fish Cove,CX,26.82,78,1011,5.66,Clouds
2025-10-10,06:53:49,Bogotá,CO,11.83,98,1018,2.68,Drizzle
2025-10-10,06:53:50,Warsaw,PL,10.68,97,1016,6.17,Drizzle
2025-10-10,06:53:51,Ankara,TR,10.97,74,1023,3.09,Clouds
2025-10-10,06:53:52,Bandar Seri Begawan,BN,31.99,58,1008,5.81,Thunderstorm
2025-10-10,06:53:54,Nouakchott,MR,26.96,80,1013,4.92,Clear
